id,premises,paragraph,conclusion,question,label,arg,statements,depth
993,"['Provided that the statement that states persistence is extremely important in starting and growing a company is false, we know that subjectivity is also devoid of persisting psychic entities.', ""So long as the statement that states persistence is extremely important in starting and growing a company is false, 'some people mistakenly believe that subjectivity is also devoid of persisting psychic entities' is true.""]","Provided that the statement that states persistence is extremely important in starting and growing a company is false, we know that subjectivity is also devoid of persisting psychic entities. So long as the statement that states persistence is extremely important in starting and growing a company is false, 'some people mistakenly believe that subjectivity is also devoid of persisting psychic entities' is true.",Many people rightly believe that persistence is extremely important in starting and growing a company.,Persistence is the password to success.,Uncertain,"Reductio Ad Absurdum: 
If (Not [0].), then [1]. 
If (Not [0].), then (Not [1].). 
Therefore, [0].","{0: 'Persistence is extremely important in starting and growing a company.', 1: 'Subjectivity is also devoid of persisting psychic entities.'}",1
859,"['Provided that sound travels through different kinds of matter, we know that every soul is a candidate for immortality.', 'It is a common misconception that every soul is a candidate for immortality.']","Provided that sound travels through different kinds of matter, we know that every soul is a candidate for immortality. It is a common misconception that every soul is a candidate for immortality.",The notion that 'sound travels through different kinds of matter' is untrue.,The idea that sound travels through different kinds of matter is true.,FALSE,"Modus Tonens: 
If [0], then [1]. 
Not [1]. 
Therefore, Not [0]..","{0: 'Sound travels through different kinds of matter.', 1: 'Every soul is a candidate for immortality.'}",1
298,"['At least one of two things is true: if sweet potato cuts into cubes, then nepotism can hide in various places, or monsoon season is rice planting season.', 'Provided that if sweet potato cuts into cubes, then nepotism can hide in various places, we know that thunder dragons are heavily armored with scales and are extremely tough.', 'Provided that monsoon season is rice planting season, we know that thunder dragons are heavily armored with scales and are extremely tough.']","At least one of two things is true: if sweet potato cuts into cubes, then nepotism can hide in various places, or monsoon season is rice planting season. Provided that if sweet potato cuts into cubes, then nepotism can hide in various places, we know that thunder dragons are heavily armored with scales and are extremely tough. Provided that monsoon season is rice planting season, we know that thunder dragons are heavily armored with scales and are extremely tough.",It is fair to say that thunder dragons are heavily armored with scales and are extremely tough.,"Thunder dragons are land dragons, incapable of flight.",Uncertain,"Disjunction Elimination: 
Either (If [1], then [2].) or [3]. 
If (If [1], then [2].), then [0]. 
If [3], then [0]. 
Therefore, [0].","{0: 'Thunder dragons are heavily armored with scales and are extremely tough.', 1: 'Sweet potato cuts into cubes.', 2: 'Nepotism can hide in various places.', 3: 'Monsoon season is rice planting season.'}",1
553,"[""At least one of two things is true: either networks also allow for the transfer of data from one system to another or saliva consists of two fluids, 'mucous' and 'serous', or child prostitution is fairly widespread."", ""So long as either networks also allow for the transfer of data from one system to another or saliva consists of two fluids, 'mucous' and 'serous', 'it is not true that sea gypsies live on one island' is true."", 'Once we know child prostitution is fairly widespread, we also know that it is not true that sea gypsies live on one island.']","At least one of two things is true: either networks also allow for the transfer of data from one system to another or saliva consists of two fluids, 'mucous' and 'serous', or child prostitution is fairly widespread. So long as either networks also allow for the transfer of data from one system to another or saliva consists of two fluids, 'mucous' and 'serous', 'it is not true that sea gypsies live on one island' is true. Once we know child prostitution is fairly widespread, we also know that it is not true that sea gypsies live on one island.",It is not true that sea gypsies live on one island.,It is not true that sea gypsies live on one island.,TRUE,"Disjunction Elimination: 
Either (Either [1] or [2].) or [3]. 
If (Either [1] or [2].), then (Not [0].). 
If [3], then (Not [0].). 
Therefore, Not [0]..","{0: 'Sea gypsies live on one island.', 1: 'Networks also allow for the transfer of data from one system to another.', 2: ""Saliva consists of two fluids, 'mucous' and 'serous'."", 3: 'Child prostitution is fairly widespread.'}",1
672,"['If impalas have (part) hip sockets, then alcohol is also a depressant.', 'The claim that alcohol is also a depressant does not correspond with reality.']","If impalas have (part) hip sockets, then alcohol is also a depressant. The claim that alcohol is also a depressant does not correspond with reality.",The claim that impalas have (part) hip sockets is false.,"The statement, impalas have (part) rib cages, does not hold.",Uncertain,"Modus Tonens: 
If [0], then [1]. 
Not [1]. 
Therefore, Not [0]..","{0: 'Impalas have (part) hip sockets.', 1: 'Alcohol is also a depressant.'}",1
971,"['There is good reason to believe that either containers can sit on the ground or hang on walls or fences or either ecclesiastical administration is that which deals with spiritual affairs or acceleration is defined as the rate of change of the velocity of an object.', ""So long as containers can sit on the ground or hang on walls or fences, 'compass light is powered by a long lasting lithium battery' is true."", 'Given that either ecclesiastical administration is that which deals with spiritual affairs or acceleration is defined as the rate of change of the velocity of an object, it can be inferred that compass light is powered by a long lasting lithium battery.']","There is good reason to believe that either containers can sit on the ground or hang on walls or fences or either ecclesiastical administration is that which deals with spiritual affairs or acceleration is defined as the rate of change of the velocity of an object. So long as containers can sit on the ground or hang on walls or fences, 'compass light is powered by a long lasting lithium battery' is true. Given that either ecclesiastical administration is that which deals with spiritual affairs or acceleration is defined as the rate of change of the velocity of an object, it can be inferred that compass light is powered by a long lasting lithium battery.",The claim that compass light is powered by a long lasting lithium battery holds true.,The notion that 'compass light is powered by a long lasting lithium battery' is untrue.,FALSE,"Disjunction Elimination: 
Either [1] or (Either [2] or [3].). 
If [1], then [0]. 
If (Either [2] or [3].), then [0]. 
Therefore, [0].","{0: 'Compass light is powered by a long lasting lithium battery.', 1: 'Containers can sit on the ground or hang on walls or fences.', 2: 'Ecclesiastical administration is that which deals with spiritual affairs.', 3: 'Acceleration is defined as the rate of change of the velocity of an object.'}",1
27,"['At least one of two things is true: most pigs use scent, or relics are artifacts.', 'Should it be the case that most pigs use scent, it follows that those that suggest large carpenter bees visit flowers are wrong.', 'Assuming relics are artifacts, we know that those that suggest large carpenter bees visit flowers are wrong.']","At least one of two things is true: most pigs use scent, or relics are artifacts. Should it be the case that most pigs use scent, it follows that those that suggest large carpenter bees visit flowers are wrong. Assuming relics are artifacts, we know that those that suggest large carpenter bees visit flowers are wrong.",Those that suggest large carpenter bees visit flowers are wrong.,It is a common misconception that some predators take advantage of the concentration of birds during migration.,Uncertain,"Disjunction Elimination: 
Either [1] or [2]. 
If [1], then (Not [0].). 
If [2], then (Not [0].). 
Therefore, Not [0]..","{0: 'Large carpenter bees visit flowers.', 1: 'Most pigs use scent.', 2: 'Relics are artifacts.'}",1
231,"['Either women understand calendars or either doctors to write prescriptions or agile enterprise occurs because of business practices.', 'On the condition that women understand calendars, it is definitely the case that snakes can be intense, passionate, distrustul, possessive, and demanding.', 'When either doctors to write prescriptions or agile enterprise occurs because of business practices is true, it follows that snakes can be intense, passionate, distrustul, possessive, and demanding.']","Either women understand calendars or either doctors to write prescriptions or agile enterprise occurs because of business practices. On the condition that women understand calendars, it is definitely the case that snakes can be intense, passionate, distrustul, possessive, and demanding. When either doctors to write prescriptions or agile enterprise occurs because of business practices is true, it follows that snakes can be intense, passionate, distrustul, possessive, and demanding.","We can assume that snakes can be intense, passionate, distrustul, possessive, and demanding.","The claim that snakes can be intense, passionate, distrustul, possessive, and demanding has no merit.",FALSE,"Disjunction Elimination: 
Either [1] or (Either [2] or [3].). 
If [1], then [0]. 
If (Either [2] or [3].), then [0]. 
Therefore, [0].","{0: 'Snakes can be intense, passionate, distrustul, possessive, and demanding.', 1: 'Women understand calendars.', 2: 'Doctors to write prescriptions.', 3: 'Agile enterprise occurs because of business practices.'}",1
306,"['If the claim that fluids differ from solids in that they flow in response to an applied force does not reflect reality, then altruism is inbom, and the rudiments of empathy are apparent even in a newborn.', 'The claim that altruism is inbom, and the rudiments of empathy are apparent even in a newborn does not correspond with reality.']","If the claim that fluids differ from solids in that they flow in response to an applied force does not reflect reality, then altruism is inbom, and the rudiments of empathy are apparent even in a newborn. The claim that altruism is inbom, and the rudiments of empathy are apparent even in a newborn does not correspond with reality.",Many people rightly believe that fluids differ from solids in that they flow in response to an applied force.,Fluids are also very important to remain hydrated.,Uncertain,"Modus Tonens: 
If (Not [0].), then [1]. 
Not [1]. 
Therefore, [0].","{0: 'Fluids differ from solids in that they flow in response to an applied force.', 1: 'Altruism is inbom, and the rudiments of empathy are apparent even in a newborn.'}",1
706,"['On the condition that tax fraud is considered punishable by the criminal courts, it is definitely the case that either isopropyl alcohol is alcohol or african cultivars display more of a photoperiodic response than French or triploid types do.', ""Whenever it is true that tax fraud is considered punishable by the criminal courts, 'we know that the claim that either isopropyl alcohol is alcohol or african cultivars display more of a photoperiodic response than French or triploid types do is false' is true.""]","On the condition that tax fraud is considered punishable by the criminal courts, it is definitely the case that either isopropyl alcohol is alcohol or african cultivars display more of a photoperiodic response than French or triploid types do. Whenever it is true that tax fraud is considered punishable by the criminal courts, 'we know that the claim that either isopropyl alcohol is alcohol or african cultivars display more of a photoperiodic response than French or triploid types do is false' is true.",It is not true that tax fraud is considered punishable by the criminal courts.,The statement 'tax fraud is considered punishable by the criminal courts' can be considered true.,FALSE,"Reductio Ad Absurdum: 
If [0], then (Either [1] or [2].). 
If [0], then (Not (Either [1] or [2].).). 
Therefore, Not [0]..","{0: 'Tax fraud is considered punishable by the criminal courts.', 1: 'Isopropyl alcohol is alcohol.', 2: 'African cultivars display more of a photoperiodic response than French or triploid types do.'}",1
